Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train AUC,Test AUC
Naive Bayes,0.25297009422367883,0.24539123310118804,0.17189988623435723,0.1693840579710145,0.990170380078637,0.9790575916230366,0.29294300116324157,0.2888030888030888,0.5926485627293142,0.5824581901955153
Linear Discriminant Analysis,0.8828349037279803,0.8877509217533798,0.7346437346437347,0.75,0.3918741808650065,0.42408376963350786,0.5111111111111111,0.5418060200668896,0.9009134220250307,0.903033928430667
Logistic Regression,0.8831421548545678,0.8877509217533798,0.7516339869281046,0.7547169811320755,0.3768020969855832,0.418848167539267,0.501964207769533,0.5387205387205387,0.896724557774492,0.8979667860929796
Artificial Neural Network (MLP),0.9116140925850061,0.8889799262597297,0.772391125718981,0.6796116504854369,0.6159895150720839,0.5497382198952879,0.6853809697411594,0.6078147612156295,0.9438899489849327,0.8999857603828422
